primary_booth,投稿数,いいね総数,いいね平均,いいね中央値,リプライ総数,リプライ平均,再投稿総数,再投稿平均,リーチ総数,リーチ平均,リーチ中央値,エンゲージメント率,投稿数スコア,エンゲージメント率スコア,総合スコア
gtune,15,51.0,10.2,1.0,7.0,2.33,6.0,6.0,9376,625.07,366.0,4.266666666666667,0.0232558139534883,0.0276543209876543,0.0241355153603215
p5xjp,12,132.0,26.4,7.0,2.0,1.0,15.0,7.5,172278,14356.5,148.5,12.416666666666666,0.0093023255813953,0.0804783950617284,0.0235375394774619
トリッカル,16,0.0,,,0.0,,0.0,,179378,11211.12,2142.0,0.0,0.027906976744186,0.0,0.0223255813953488
segaatlustgs2025,13,77.0,12.83,3.5,3.0,1.0,5.0,1.67,44227,3402.08,366.0,6.538461538461538,0.013953488372093,0.0423789173789173,0.0196385741734578
ai,15,5.0,2.5,2.5,0.0,,0.0,,195428,13028.53,925.0,0.3333333333333333,0.0232558139534883,0.0021604938271604,0.0190367499282227
ゲーミングpc,15,1.0,1.0,1.0,0.0,,0.0,,12830,855.33,139.0,0.0666666666666666,0.0232558139534883,0.000432098765432,0.0186910709158771
逆水寒tgs,14,36.0,3.6,2.0,2.0,1.0,0.0,,2440,174.29,35.0,2.7142857142857144,0.0186046511627906,0.0175925925925925,0.018402239448751
龍が如くtgs2025,11,110.0,12.22,2.0,3.0,1.0,3.0,1.5,17248,1568.0,888.0,10.545454545454543,0.0046511627906976,0.0683501683501683,0.0173909639025918
codevein2,12,41.0,10.25,7.0,0.0,,3.0,1.5,2469,205.75,57.0,3.6666666666666665,0.0093023255813953,0.0237654320987654,0.0121949468848693
スタレゾtgs,13,6.0,3.0,3.0,1.0,1.0,0.0,,8361,643.15,213.0,0.5384615384615384,0.013953488372093,0.0034900284900284,0.0118607963956801
スクエニtgs,12,10.0,5.0,5.0,5.0,1.0,0.0,,11777,981.42,555.0,1.25,0.0093023255813953,0.0081018518518518,0.0090622308354866
懸賞,11,0.0,,,0.0,,0.0,,94185,8562.27,13102.0,0.0,0.0046511627906976,0.0,0.0037209302325581
抽選,10,0.0,,,0.0,,0.0,,27173,2717.3,601.5,0.0,0.0,0.0,0.0
